,target,age,gender_F,donations_2017,donations_2017_min_2016
200,1,59,0,5,-3
201,1,44,1,7,2
202,1,57,0,10,1
203,1,47,1,4,-2
204,1,81,1,2,-2
205,1,56,0,4,-2
206,1,78,1,5,4
207,1,39,0,4,-4
208,1,66,1,10,2
209,1,30,1,6,-3
210,1,71,0,1,0
211,1,50,1,3,-3
212,1,57,1,7,-2
213,1,64,1,7,0
214,1,56,0,1,0
215,1,25,0,9,2
216,1,41,0,3,1
217,1,22,1,10,1
218,1,56,0,4,-4
219,1,42,0,2,2
220,1,72,0,8,7
221,1,52,1,2,1
222,1,51,0,1,-5
223,1,50,1,4,0
224,1,24,1,5,0
225,1,58,0,9,1
226,1,53,1,6,4
227,1,53,0,6,5
228,1,43,0,7,-1
229,1,51,1,3,-5
230,1,80,1,6,4
231,1,56,1,3,-2
232,1,31,1,10,2
233,1,66,0,9,8
234,1,70,1,3,-5
235,1,48,0,8,1
236,1,35,1,1,0
237,1,78,0,7,4
238,1,95,1,6,5
239,1,63,0,1,-6
240,1,60,0,1,-4
241,1,81,0,10,7
242,1,43,0,1,-4
243,1,67,0,7,6
244,1,57,0,6,0
245,1,50,0,7,0
246,1,48,0,2,-3
247,1,48,0,9,4
248,1,47,0,6,-3
249,1,61,0,3,-3
250,1,63,0,8,5
251,1,57,1,7,-2
252,1,71,1,10,3
253,1,104,0,2,2
254,1,65,1,6,-3
255,1,19,0,9,2
256,1,107,1,7,6
257,1,79,1,5,3
258,1,51,0,8,5
259,1,57,1,3,1
260,1,60,0,7,6
261,1,28,1,3,-2
262,1,62,0,4,2
263,1,33,0,6,1
264,1,48,1,10,10
265,1,54,1,10,5
266,1,26,1,10,1
267,1,60,1,10,7
268,1,64,1,9,9
269,1,75,0,3,-6
270,1,62,1,3,0
271,1,72,1,6,4
272,1,26,0,5,5
273,1,41,0,10,5
274,1,45,0,9,9
275,1,42,1,1,-8
276,1,70,1,5,-3
277,1,68,1,1,1
278,1,78,1,1,-6
279,1,39,1,4,4
280,1,95,0,4,1
281,1,63,1,8,7
282,1,50,0,2,-7
283,1,42,0,7,1
284,1,56,1,7,0
285,1,44,1,4,1
286,1,74,0,10,1
287,1,29,1,6,6
288,1,55,1,3,-4
289,1,32,1,6,6
290,1,61,1,3,3
291,1,64,0,4,4
292,1,41,0,1,1
293,1,61,0,10,5
294,1,54,1,1,1
295,1,67,0,3,0
296,1,31,0,10,10
297,1,80,1,6,3
298,1,43,1,6,1
299,1,44,1,1,-6
300,1,64,1,5,4
301,1,98,0,3,-4
302,1,60,0,4,-5
303,1,54,0,10,8
304,1,59,1,9,8
305,1,29,0,8,2
306,1,81,1,7,0
307,1,103,1,6,4
308,1,54,1,5,-3
309,1,83,1,5,-3
310,1,42,0,4,1
311,1,34,0,9,7
312,1,61,1,9,8
313,1,83,1,1,-8
314,1,58,0,1,-5
315,1,76,0,6,-1
316,1,63,0,3,2
317,1,90,1,4,0
318,1,60,1,6,0
319,1,60,1,4,-2
320,1,76,1,5,3
321,1,74,1,10,1
322,1,36,1,6,6
323,1,49,0,1,-3
324,1,27,0,2,-7
325,1,52,1,2,-1
326,1,70,0,3,-6
327,1,99,1,6,1
328,1,45,0,10,3
329,1,25,0,10,6
330,1,105,0,1,-2
331,1,64,1,4,-1
332,1,58,0,5,5
333,1,27,0,2,-1
334,1,30,1,6,6
335,1,29,1,9,0
336,1,33,0,2,2
337,1,60,0,7,7
338,1,65,1,9,2
339,1,58,0,9,3
340,1,27,1,10,6
341,1,54,1,7,7
342,1,25,0,5,-4
343,1,88,1,6,2
344,1,45,1,6,1
345,1,105,1,9,9
346,1,23,1,7,-1
347,1,40,1,6,-2
348,1,72,1,8,1
349,1,39,1,9,6
350,1,56,0,3,-6
351,1,56,1,1,-6
352,1,60,0,3,2
353,1,57,1,4,-1
354,1,80,0,10,9
355,1,54,1,6,4
356,1,46,0,1,1
357,1,62,0,6,4
358,1,72,1,7,5
359,1,36,1,3,0
360,1,37,1,4,2
361,1,80,1,2,-1
362,1,29,0,4,-5
363,1,41,1,3,-6
364,1,38,1,10,2
365,1,74,0,6,0
366,1,82,1,10,4
367,1,80,0,5,-1
368,1,66,0,10,10
369,1,57,0,6,1
370,1,53,0,4,-4
371,1,52,0,10,10
372,1,84,1,5,-4
373,1,54,1,1,-1
374,1,46,0,4,-4
375,1,90,1,5,5
376,1,72,1,5,-4
377,1,45,1,8,6
378,1,44,0,2,-1
379,1,76,1,4,-4
380,1,78,1,9,0
381,1,89,0,9,1
382,1,48,0,3,-3
383,1,94,1,3,0
384,1,59,0,1,-7
385,1,54,0,2,1
386,1,85,0,7,-1
387,1,53,1,9,4
388,1,81,0,10,5
389,1,56,1,8,6
390,1,39,0,2,-6
391,1,66,1,7,1
392,1,76,1,2,-4
393,1,52,0,5,1
394,1,53,1,6,0
395,1,51,1,2,-6
396,1,56,1,7,6
397,1,58,0,9,7
398,1,32,0,10,7
399,1,82,1,10,1
400,1,57,1,6,-1
401,1,42,1,4,2
402,1,31,1,2,-1
403,1,57,1,6,3
404,1,50,0,1,-4
405,1,59,1,4,0
406,1,51,1,8,5
407,1,56,0,7,4
408,1,38,1,5,-1
409,1,60,1,4,4
410,1,49,1,4,-3
411,1,60,0,9,3
412,1,58,0,10,9
413,1,50,0,1,-2
414,1,60,1,6,1
415,1,39,0,7,3
416,1,53,1,2,-5
417,1,42,1,9,1
418,1,63,0,7,1
419,1,60,1,10,4
420,1,54,1,8,1
421,1,50,1,8,3
422,1,86,1,8,2
423,1,71,0,2,-3
424,1,77,1,6,2
425,1,46,1,9,5
426,1,86,0,2,-7
427,1,60,0,5,5
428,1,38,1,10,4
429,1,20,1,6,-2
430,1,28,1,7,-2
431,1,76,0,5,5
432,1,47,1,3,-5
433,1,109,1,10,4
434,1,36,1,10,3
435,1,54,0,1,-5
436,1,71,1,10,3
437,1,77,0,2,-6
438,1,38,1,9,9
439,1,57,0,6,0
440,1,60,1,5,-1
441,1,73,1,1,-1
442,1,79,1,4,2
443,1,21,1,6,5
444,1,79,0,6,0
445,1,76,0,2,-2
446,1,63,1,5,-4
447,1,28,1,5,3
448,1,27,0,3,-4
449,1,55,0,6,6
450,1,79,1,3,1
451,1,44,1,8,0
452,1,56,0,5,-1
453,1,71,1,8,0
454,1,60,1,3,0
455,1,58,0,2,-1
456,1,61,1,10,4
457,1,81,1,8,7
458,1,76,0,5,1
459,1,46,1,7,0
460,1,85,0,3,2
461,1,75,1,5,-3
462,1,72,0,3,-3
463,1,45,1,10,10
464,1,76,1,10,6
465,1,52,0,5,-1
466,1,52,1,5,0
467,1,53,0,3,-5
468,1,60,0,4,-1
469,1,64,1,10,8
470,1,38,0,9,7
471,1,81,0,4,2
472,1,96,0,7,3
473,1,49,0,4,3
474,1,32,0,5,-4
475,1,33,1,8,-1
476,1,63,0,9,8
477,1,50,0,10,9
478,1,66,1,5,-4
479,1,69,0,1,1
480,1,48,0,7,-2
481,1,24,0,1,-2
482,1,52,0,7,-1
483,1,68,1,10,10
484,1,62,0,2,-2
485,1,40,1,6,-2
486,1,61,0,4,3
487,1,91,1,10,7
488,1,60,0,10,2
489,1,49,1,10,7
490,1,52,0,7,3
491,1,32,1,1,-7
492,1,55,0,9,0
493,1,92,0,3,2
494,1,67,0,3,-2
495,1,41,1,9,9
496,1,55,1,8,2
497,1,73,0,10,1
498,1,63,1,7,-1
499,1,41,0,8,5
500,1,65,0,1,-3
501,1,49,1,3,-5
502,1,65,0,4,-3
503,1,59,1,1,-1
504,1,34,0,3,-6
505,1,31,0,2,-3
506,1,19,1,3,0
507,1,77,0,5,0
508,1,56,1,1,-8
509,1,54,0,8,-1
510,1,49,1,9,2
511,1,62,1,4,-1
512,1,55,0,8,0
513,1,62,0,10,10
514,1,83,1,8,0
515,1,62,0,9,8
516,1,61,0,10,8
517,1,33,1,2,-1
518,1,57,1,5,0
519,1,52,1,2,-4
520,1,72,0,2,0
521,1,64,1,7,5
522,1,86,1,5,4
523,1,46,1,10,9
524,1,59,0,7,7
525,1,65,1,9,3
526,1,77,1,10,5
527,1,70,1,2,-4
528,1,88,0,6,-1
529,1,89,1,5,1
530,1,53,0,10,9
531,1,71,0,3,1
532,1,39,1,5,-2
533,1,74,1,6,-3
534,1,24,0,9,9
535,1,69,0,8,3
536,1,67,0,3,-3
537,1,53,1,10,5
538,1,71,0,9,3
539,1,54,0,8,5
540,1,80,1,10,6
541,1,68,0,5,4
542,1,47,0,10,6
543,1,59,1,7,5
544,1,44,1,2,0
545,1,46,1,9,2
546,1,49,1,4,1
547,1,97,1,4,-1
548,1,40,0,6,6
549,1,42,1,5,-4
550,1,38,0,2,-7
551,1,70,0,6,-3
552,1,71,1,8,0
553,1,37,0,6,-1
554,1,55,0,6,6
555,1,49,0,4,4
556,1,60,1,7,0
557,1,58,0,10,6
558,1,26,1,3,1
559,1,65,1,2,2
560,1,73,1,8,2
561,1,48,1,3,-2
562,1,61,0,10,8
563,1,86,0,2,-6
564,1,33,0,8,2
565,1,67,1,8,8
566,1,59,1,10,3
567,1,53,1,5,-1
568,1,55,1,1,-5
569,1,59,0,1,-6
570,1,44,1,1,-2
571,1,38,0,5,4
572,1,55,1,4,-2
573,1,56,1,2,-5
574,1,70,0,5,1
575,1,95,0,10,1
576,1,61,1,5,-1
577,1,48,1,5,-1
578,1,71,0,10,9
579,1,89,1,1,-6
580,1,51,1,3,-6
581,1,38,1,4,0
582,1,56,0,5,-3
583,1,55,1,2,-5
584,1,34,1,10,5
585,1,42,0,2,2
586,1,52,1,9,7
587,1,75,0,1,1
588,1,44,0,9,6
589,1,54,1,6,1
590,1,56,0,1,-6
591,1,57,1,3,0
592,1,84,0,10,10
593,1,56,0,4,2
594,1,45,1,6,2
595,1,47,1,5,-4
596,1,77,1,10,8
597,1,57,0,1,-1
598,1,26,0,1,-3
599,1,30,1,4,1
600,1,53,0,2,-7
601,1,63,0,1,-3
602,1,49,0,8,0
603,1,48,0,6,0
604,1,60,1,9,2
605,1,50,0,2,-3
606,1,79,1,10,6
607,1,35,0,2,-4
608,1,55,0,3,0
609,1,50,0,5,0
610,1,26,1,6,2
611,1,39,1,10,3
612,1,28,0,1,-2
613,1,32,0,10,7
614,1,53,1,2,2
615,1,49,1,2,-2
616,1,26,0,2,-5
617,1,70,0,2,-3
618,1,46,0,6,-3
619,1,72,1,8,1
620,1,55,1,4,-4
621,1,74,0,5,-1
622,1,62,1,4,4
623,1,35,1,1,-3
624,1,36,1,10,7
625,1,60,1,9,2
626,1,23,1,7,-1
627,1,39,0,10,2
628,1,58,0,4,-4
629,1,35,1,9,1
630,1,87,1,1,-8
631,1,91,1,6,4
632,1,20,1,6,0
633,1,77,1,5,1
634,1,46,0,4,-4
635,1,43,0,10,1
636,1,66,0,2,0
637,1,36,1,9,9
638,1,40,0,10,9
639,1,28,1,1,-7
640,1,35,1,3,-4
641,1,70,0,1,-5
642,1,58,1,7,0
643,1,57,1,4,4
644,1,41,1,1,-5
645,1,53,1,7,-2
646,1,87,0,3,-4
647,1,72,0,6,-2
648,1,60,0,6,5
649,1,27,0,7,2
650,1,90,1,10,8
651,1,66,1,7,7
652,1,34,1,10,8
653,1,27,0,5,0
654,1,59,0,3,-5
655,1,46,1,10,4
656,1,22,0,10,1
657,1,55,1,10,7
658,1,63,1,4,0
659,1,87,0,4,-3
660,1,56,1,4,4
661,1,37,0,3,-3
662,1,50,1,7,2
663,1,41,0,3,-1
664,1,57,1,7,-1
665,1,39,0,8,3
666,1,70,0,10,8
667,1,57,0,1,-3
668,1,30,0,4,-2
669,1,19,0,3,-3
670,1,35,1,4,3
671,1,47,1,2,-2
672,1,21,1,6,3
673,1,33,1,8,6
674,1,76,1,1,-6
675,1,55,1,4,-2
676,1,46,1,5,-1
677,1,73,0,6,6
678,1,60,0,5,5
679,1,76,1,4,3
680,1,42,1,7,7
681,1,61,1,9,1
682,1,47,0,5,5
683,1,35,1,9,8
684,1,64,0,2,-1
685,1,68,1,4,4
686,1,36,1,8,0
687,1,63,1,2,-5
688,1,48,0,8,8
689,1,46,0,6,5
690,1,51,0,8,1
691,1,38,1,2,-5
692,1,74,1,9,8
693,1,82,1,3,-5
694,1,62,0,1,-2
695,1,60,1,1,-6
696,1,25,1,4,2
697,1,36,1,10,5
698,1,72,1,5,-4
699,1,34,1,2,-7
700,1,46,0,8,6
701,1,61,1,9,4
702,1,31,0,4,0
703,1,49,1,10,6
704,1,58,1,6,-2
705,1,62,1,6,3
706,1,43,0,5,1
707,1,71,1,9,9
708,1,92,1,10,2
709,1,42,0,10,8
710,1,61,1,10,4
711,1,49,1,7,3
712,1,34,0,3,-1
713,1,66,1,4,-3
714,1,46,0,9,2
715,1,47,0,5,-2
716,1,59,0,6,-1
717,1,58,1,3,-6
718,1,73,1,8,3
719,1,58,1,7,0
720,1,44,0,3,-6
721,1,34,0,6,-1
722,1,44,1,3,3
723,1,48,0,3,2
724,1,53,1,1,-8
725,1,56,1,10,1
726,1,70,0,4,2
727,1,57,1,7,0
728,1,30,1,2,2
729,1,70,1,8,5
730,1,36,1,4,-4
731,1,30,0,1,1
732,1,74,0,3,-2
733,1,64,1,5,5
734,1,70,1,4,1
735,1,67,1,7,0
736,1,42,1,3,-5
737,1,47,1,2,-6
738,1,51,0,1,-6
739,1,34,1,7,6
740,1,52,1,2,1
741,1,51,0,7,0
742,1,20,1,1,0
743,1,31,1,8,1
744,1,34,0,4,0
745,1,56,0,5,0
746,1,27,0,4,0
747,1,85,1,7,-1
748,1,37,0,2,-4
749,1,48,0,2,-7
750,1,55,0,1,0
751,1,82,1,3,-6
752,1,20,1,7,4
753,1,36,0,3,2
754,1,62,0,10,1
755,1,83,0,7,-2
756,1,60,0,3,1
757,1,65,1,8,6
758,1,19,1,4,0
759,1,78,0,5,0
760,1,34,0,5,5
761,1,40,1,10,3
762,1,29,0,6,2
763,1,43,0,9,2
764,1,30,0,7,7
765,1,36,1,5,-4
766,1,74,1,8,4
767,1,31,0,1,-3
768,1,32,1,6,6
769,1,80,1,2,2
770,1,71,0,6,-2
771,1,49,1,1,-2
772,1,43,1,1,-2
773,1,43,1,3,-1
774,1,79,0,7,6
775,1,72,0,8,7
776,1,71,0,4,3
777,1,58,1,7,0
778,1,60,1,1,-8
779,1,24,1,8,2
780,1,37,0,8,2
781,1,51,0,6,-3
782,1,57,0,4,1
783,1,65,1,6,5
784,1,23,0,7,-1
785,1,33,1,2,-2
786,1,26,0,4,1
787,1,50,0,6,0
788,1,61,1,5,1
789,1,45,1,7,1
790,1,38,0,10,5
791,1,72,1,6,6
792,1,42,0,7,1
793,1,56,1,1,1
794,1,53,0,10,4
795,1,25,0,6,0
796,1,65,0,5,5
797,1,31,0,10,6
798,1,21,1,9,2
799,1,23,1,2,-4
800,1,56,1,6,-3
801,1,60,0,6,3
802,1,75,0,3,-1
803,1,61,1,3,-3
804,1,74,0,10,3
805,1,61,0,1,1
806,1,48,1,3,-3
807,1,68,1,6,-2
808,1,28,1,3,-3
809,1,56,0,7,-2
810,1,72,0,10,2
811,1,53,0,1,-3
812,1,53,1,4,-2
813,1,57,0,3,3
814,1,60,1,5,1
815,1,32,0,1,-8
816,1,31,0,1,-4
817,1,62,0,8,4
818,1,74,1,2,-1
819,1,42,0,7,-2
820,1,34,0,7,1
821,1,63,0,4,2
822,1,48,0,6,4
823,1,60,0,4,-4
824,1,45,0,5,2
825,1,38,0,9,5
826,1,49,1,2,-5
827,1,83,1,1,-4
828,1,54,1,7,4
829,1,30,1,6,2
830,1,53,1,8,1
831,1,73,0,8,-1
832,1,24,1,1,-5
833,1,64,0,3,-6
834,1,25,0,3,2
835,1,49,1,5,4
836,1,61,0,2,-2
837,1,40,0,4,-4
838,1,56,1,8,8
839,1,65,1,8,0
840,1,47,0,4,4
841,1,47,1,8,4
842,1,46,1,5,-4
843,1,68,0,2,2
844,1,52,1,7,1
845,1,80,0,10,3
846,1,82,0,8,5
847,1,46,1,2,2
848,1,63,1,5,-3
849,1,86,1,10,9
850,1,42,1,7,4
851,1,77,1,10,1
852,1,60,0,9,8
853,1,49,0,5,-1
854,1,45,0,5,-1
855,1,67,1,5,-4
856,1,69,1,1,1
857,1,39,1,9,4
858,1,23,0,6,5
859,1,42,1,1,0
860,1,49,1,5,-1
861,1,69,1,9,0
862,1,28,1,3,-5
863,1,47,0,4,1
864,1,53,1,1,-4
865,1,50,1,5,5
866,1,52,0,10,9
867,1,78,0,1,-5
868,1,54,0,5,5
869,1,37,0,4,4
870,1,47,1,1,-2
871,1,41,0,10,2
872,1,30,1,1,-5
873,1,48,1,9,8
874,1,80,0,2,-5
875,1,75,1,6,2
876,1,70,0,9,4
877,1,62,0,2,1
878,1,49,1,5,-3
879,1,33,1,2,2
880,1,88,1,6,0
881,1,20,1,3,-5
882,1,30,1,10,1
883,1,35,0,5,3
884,1,47,1,3,3
885,1,60,1,4,-2
886,1,81,0,7,5
887,1,77,1,3,-2
888,1,49,1,4,4
889,1,58,1,4,-2
890,1,48,0,9,0
891,1,49,1,1,0
892,1,52,0,3,-4
893,1,45,1,2,-4
894,1,48,1,8,3
895,1,78,0,10,8
896,1,87,1,4,4
897,1,56,0,2,-7
898,1,65,0,5,1
899,1,60,0,4,0
900,1,98,1,10,3
901,1,59,0,7,-2
902,1,48,0,8,1
903,1,45,0,6,3
904,1,38,1,8,8
905,1,62,1,10,8
906,1,22,0,10,4
907,1,28,0,10,7
908,1,26,0,4,-5
909,1,48,0,1,-2
910,1,62,0,6,1
911,1,60,1,9,1
912,1,65,1,3,-6
913,1,57,1,1,-5
914,1,33,1,2,-3
915,1,64,0,4,2
916,1,41,0,6,-3
917,1,61,1,1,-4
918,1,55,1,6,-1
919,1,24,0,5,-4
920,1,20,0,6,2
921,1,46,1,5,5
922,1,83,1,10,10
923,1,57,1,7,-2
924,1,29,1,10,8
925,1,47,0,8,7
926,1,28,1,9,1
927,1,64,0,9,9
928,0,60,1,4,-3
929,1,77,1,4,2
930,1,83,0,7,0
931,1,60,0,5,-3
932,1,78,1,10,4
933,1,56,1,7,1
934,1,42,0,10,9
935,1,69,1,10,7
936,1,67,0,5,0
937,1,83,0,10,1
938,1,106,1,4,-5
939,1,59,0,4,3
940,1,19,1,10,6
941,1,82,0,4,4
942,1,26,0,7,0
943,1,45,1,7,1
944,1,34,0,4,-2
945,1,41,0,5,-2
946,1,57,1,2,-7
947,1,43,0,8,6
948,1,31,0,7,-1
949,1,45,0,7,2
950,1,46,1,1,1
951,1,70,0,10,10
952,1,60,0,8,7
953,1,64,0,6,-1
954,1,67,1,1,-7
955,1,24,1,7,5
956,1,72,0,10,4
957,1,70,1,9,8
958,1,32,0,5,-2
959,1,34,1,2,-2
960,1,43,1,7,3
961,1,66,0,8,6
962,1,78,0,3,-3
963,1,51,1,1,0
964,1,69,0,3,3
965,1,86,0,4,-1
966,1,78,1,3,3
967,1,88,1,10,10
968,1,56,0,1,-6
969,1,65,0,10,6
970,1,96,1,2,-3
971,1,62,1,10,9
972,1,29,0,3,-3
973,1,54,0,6,4
974,1,66,1,4,-1
975,1,50,1,6,5
976,1,52,0,4,-1
977,1,75,0,8,-1
978,1,44,1,10,6
979,1,55,1,10,10
980,1,45,1,8,4
981,1,33,1,3,-5
982,1,60,0,1,-8
983,1,42,0,6,2
984,1,42,0,5,-3
985,1,42,1,9,6
986,1,31,1,9,0
987,1,69,1,4,-4
988,1,23,0,3,-2
989,1,47,1,7,7
990,1,29,1,3,-3
991,1,75,1,5,4
992,1,25,1,8,4
993,1,60,0,6,-3
994,1,56,0,8,8
995,1,69,0,9,2
996,1,34,1,7,7
997,1,35,0,10,2
998,1,84,0,4,-5
999,1,65,0,4,-2
1000,1,59,0,6,1
1001,1,59,0,3,-2
1002,1,38,1,4,-5
1003,1,43,0,6,0
1004,1,33,0,3,-1
1005,1,76,1,5,1
1006,1,23,0,4,-1
1007,1,38,1,6,0
1008,1,51,1,7,0
1009,1,48,1,8,4
1010,1,56,1,7,5
1011,1,32,0,8,7
1012,1,72,1,8,4
1013,1,80,1,8,5
1014,1,63,0,3,-5
1015,1,60,0,5,-2
1016,1,80,0,5,-2
1017,1,68,1,7,5
1018,1,59,1,4,-1
1019,1,75,1,4,-3
1020,1,27,1,9,6
1021,1,83,0,10,4
1022,1,44,1,2,-2
1023,1,79,1,9,0
1024,1,20,0,8,3
1025,1,45,1,4,-2
1026,1,58,0,7,-1
1027,1,20,1,8,8
1028,1,65,1,6,4
1029,1,39,1,10,10
1030,1,55,1,5,2
1031,1,57,1,6,-1
1032,1,78,0,8,2
1033,1,59,0,1,-5
1034,1,71,0,5,-4
1035,1,75,1,10,1
1036,1,60,1,4,-1
1037,1,53,0,10,5
1038,1,37,0,3,-4
1039,1,73,1,1,0
1040,1,75,0,2,-4
1041,1,64,0,6,1
1042,1,59,1,8,5
1043,1,35,1,7,6
1044,1,45,0,5,1
1045,1,43,1,10,4
1046,1,56,0,2,2
1047,1,63,1,5,2
1048,1,45,0,10,5
1049,1,87,0,7,-2
1050,1,55,1,2,2
1051,1,55,0,4,-2
1052,1,47,1,2,-2
1053,1,37,0,1,-1
1054,1,58,1,6,1
1055,1,28,0,10,2
1056,1,82,1,2,-4
1057,1,45,0,6,4
1058,1,74,1,2,1
1059,1,57,1,1,1
1060,1,24,0,3,2
1061,1,107,0,7,0
1062,1,94,1,9,5
1063,1,21,1,4,-3
1064,1,60,1,1,-1
1065,1,50,0,3,-6
1066,1,63,0,3,-6
1067,1,99,1,6,-2
1068,1,61,1,3,-6
1069,1,54,0,3,-1
1070,1,58,0,7,-1
1071,1,47,0,5,5
1072,1,53,0,3,-1
1073,1,64,1,5,-3
1074,1,60,1,8,3
1075,1,36,0,4,-3
1076,1,69,0,8,-1
1077,1,56,1,6,2
1078,1,43,1,2,1
1079,1,33,0,6,4
1080,1,50,1,6,2
1081,1,60,1,6,-3
1082,1,70,0,6,-3
1083,1,51,0,4,3
1084,1,84,0,2,-7
1085,1,44,1,4,2
1086,1,60,1,2,1
1087,1,74,1,10,5
1088,1,28,0,7,6
1089,1,61,1,5,4
1090,1,39,0,2,-3
1091,1,40,0,6,-1
1092,1,25,1,8,0
1093,1,46,0,8,-1
1094,1,69,1,8,0
1095,1,64,1,2,-1
1096,1,32,1,9,3
1097,1,76,1,5,0
1098,1,58,0,5,-1
1099,1,71,1,8,8
1100,1,60,1,5,4
1101,1,28,0,2,0
1102,1,70,0,1,-3
1103,1,63,1,9,2
1104,1,83,1,4,2
1105,1,102,0,6,4
1106,1,57,0,6,6
1107,1,48,0,5,3
1108,1,20,0,8,6
1109,1,56,1,9,8
1110,1,83,1,8,6
1111,1,43,0,7,2
1112,1,47,0,2,-5
1113,1,19,0,2,-4
1114,1,86,0,6,-2
1115,1,42,1,3,3
1116,1,28,0,2,-3
1117,1,80,0,6,6
